СИНТЕТИЧЕСКАЯ БАНКОВСКАЯ ВЫПИСКА
Период: 2026-03-01 — 2026-03-31
Источник: synthetic household account export
Каждая строка ниже — одна банковская операция.

transaction_id | occurred_at | posted_at | merchant | description | amount | currency | card_last4 | channel | status | source_category | merchant_country | mcc | authorization_code | terminal_id | counterparty | balance_after | payment_purpose | provider_reference | cashback_minor | merchant_address | merchant_location | payment_instrument | exchange_rate | fee_minor | settlement_reference | accounting_note
TX-001 | 2026-03-01 09:07 | 2026-03-02 | NOVA MARKET | продукты и молоко | -1250.00 | RUB | 4405 | card | posted | food.groceries | RU | 5301 | AUTH-00000001 | TERM-101 | counterparty-01 | 4874996.83 | household; продукты и молоко; monthly export | 125 | RU-MOW-101 | Москва, район 2, точка обслуживания 2 | debit-card | 1.000000 | 1 | SETTLE-202603-000001 | synthetic export; settlement completed; no manual override
TX-012 | 2026-03-12 10:24 | 2026-03-13 | SALARY TEST | заработная плата | 85000.00 | RUB | 4404 | qr | posted | income.salary | RU | 5304 | AUTH-00000012 | TERM-112 | counterparty-03 | 13499961.96 | household; заработная плата; monthly export | 8500 | RU-MOW-112 | Москва, район 5, точка обслуживания 1 | instant-qr | 1.000000 | 0 | SETTLE-202603-000012 | synthetic export; settlement completed; no manual override
TX-013 | 2026-03-13 11:31 | 2026-03-14 | NOVA MARKET | продукты | -2367.00 | RUB | 4405 | card | posted | food.groceries | RU | 5305 | AUTH-00000013 | TERM-113 | counterparty-04 | 4763258.79 | household; продукты; monthly export | 236 | RU-MOW-113 | Москва, район 6, точка обслуживания 2 | debit-card | 1.000000 | 1 | SETTLE-202603-000013 | synthetic export; settlement completed; no manual override
TX-014 | 2026-03-14 12:38 | 2026-03-15 | CITY RIDE | поездка завершена | -117.00 | RUB | 4406 | card | posted | transport | RU | 5306 | AUTH-00000014 | TERM-114 | counterparty-05 | 4988255.62 | household; поездка завершена; monthly export | 11 | RU-MOW-114 | Москва, район 7, точка обслуживания 3 | debit-card | 1.000000 | 2 | SETTLE-202603-000014 | synthetic export; settlement completed; no manual override
TX-015 | 2026-03-15 13:45 | 2026-03-16 | BOOK HOUSE | книги | -1499.00 | RUB | 4407 | qr | posted | unknown | RU | 5307 | AUTH-00000015 | TERM-115 | counterparty-06 | 4850052.45 | household; книги; monthly export | 149 | RU-MOW-115 | Москва, район 8, точка обслуживания 4 | instant-qr | 1.000000 | 0 | SETTLE-202603-000015 | synthetic export; settlement completed; no manual override
TX-016 | 2026-03-16 14:52 | 2026-03-17 | HOME NET | домашний интернет | -890.00 | RUB | 4408 | card | posted | services.digital | RU | 5300 | AUTH-00000016 | TERM-116 | counterparty-07 | 4910949.28 | household; домашний интернет; monthly export | 89 | RU-MOW-116 | Москва, район 1, точка обслуживания 5 | debit-card | 1.000000 | 1 | SETTLE-202603-000016 | synthetic export; settlement completed; no manual override
TX-017 | 2026-03-17 15:59 | 2026-03-18 | RIVER PAY | оплата заказа | -2045.00 | RUB | 4409 | card | posted | unknown | RU | 5301 | AUTH-00000017 | TERM-100 | counterparty-08 | 4795446.11 | household; оплата заказа; monthly export | 204 | RU-MOW-117 | Москва, район 2, точка обслуживания 6 | debit-card | 1.000000 | 2 | SETTLE-202603-000017 | synthetic export; settlement completed; no manual override
TX-018 | 2026-03-18 16:06 | 2026-03-19 | MEDI-CORNER | аптечные товары | -630.00 | RUB | 4404 | qr | posted | health.pharmacy | RU | 5302 | AUTH-00000018 | TERM-101 | counterparty-00 | 4936942.94 | household; аптечные товары; monthly export | 63 | RU-MOW-118 | Москва, район 3, точка обслуживания 7 | instant-qr | 1.000000 | 0 | SETTLE-202603-000018 | synthetic export; settlement completed; no manual override
TX-019 | 2026-03-19 17:13 | 2026-03-20 | NORTH CAFE | обед | -1180.00 | RUB | 4405 | card | posted | food.cafe | RU | 5303 | AUTH-00000019 | TERM-102 | counterparty-01 | 4881939.77 | household; обед; monthly export | 118 | RU-MOW-119 | Москва, район 4, точка обслуживания 8 | debit-card | 1.000000 | 1 | SETTLE-202603-000019 | synthetic export; settlement completed; no manual override
TX-020 | 2026-03-20 08:20 | 2026-03-21 | GREEN MARKET | продукты | -2178.00 | RUB | 4406 | card | posted | food.groceries | RU | 5304 | AUTH-00000020 | TERM-103 | counterparty-02 | 4782136.60 | household; продукты; monthly export | 217 | RU-MOW-120 | Москва, район 5, точка обслуживания 9 | debit-card | 1.000000 | 2 | SETTLE-202603-000020 | synthetic export; settlement completed; no manual override
TX-021 | 2026-03-21 09:27 | 2026-03-22 | CITY RIDE | поездка завершена | -164.00 | RUB | 4407 | qr | posted | transport | RU | 5305 | AUTH-00000021 | TERM-104 | counterparty-03 | 4983533.43 | household; поездка завершена; monthly export | 16 | RU-MOW-121 | Москва, район 6, точка обслуживания 10 | instant-qr | 1.000000 | 0 | SETTLE-202603-000021 | synthetic export; settlement completed; no manual override
TX-022 | 2026-03-22 10:34 | 2026-03-23 | STREAM BOX | подписка за месяц | -799.00 | RUB | 4408 | card | posted | services.digital | RU | 5306 | AUTH-00000022 | TERM-105 | counterparty-04 | 4920030.26 | household; подписка за месяц; monthly export | 79 | RU-MOW-122 | Москва, район 7, точка обслуживания 11 | debit-card | 1.000000 | 1 | SETTLE-202603-000022 | synthetic export; settlement completed; no manual override
TX-023 | 2026-03-23 11:41 | 2026-03-24 | NOVA MARKET | продукты | -1876.00 | RUB | 4409 | card | posted | food.groceries | RU | 5307 | AUTH-00000023 | TERM-106 | counterparty-05 | 4812327.09 | household; продукты; monthly export | 187 | RU-MOW-123 | Москва, район 8, точка обслуживания 12 | debit-card | 1.000000 | 2 | SETTLE-202603-000023 | synthetic export; settlement completed; no manual override
TX-024 | 2026-03-24 12:48 | 2026-03-25 | BOOK HOUSE | канцелярия | -583.00 | RUB | 4404 | qr | posted | unknown | RU | 5300 | AUTH-00000024 | TERM-107 | counterparty-06 | 4941623.92 | household; канцелярия; monthly export | 58 | RU-MOW-124 | Москва, район 1, точка обслуживания 1 | instant-qr | 1.000000 | 0 | SETTLE-202603-000024 | synthetic export; settlement completed; no manual override
TX-025 | 2026-03-25 13:55 | 2026-03-26 | TRANSFER OWN | между своими счетами | -7000.00 | RUB | 4405 | card | posted | transfer.internal | RU | 5301 | AUTH-00000025 | TERM-108 | counterparty-07 | 4299920.75 | household; между своими счетами; monthly export | 700 | RU-MOW-125 | Москва, район 2, точка обслуживания 2 | debit-card | 1.000000 | 1 | SETTLE-202603-000025 | synthetic export; settlement completed; no manual override
TX-026 | 2026-03-26 14:02 | 2026-03-27 | RIVER PAY | возврат заказа | 430.00 | RUB | 4406 | card | posted | unknown | RU | 5302 | AUTH-00000026 | TERM-109 | counterparty-08 | 5042917.58 | household; возврат заказа; monthly export | 43 | RU-MOW-126 | Москва, район 3, точка обслуживания 3 | debit-card | 1.000000 | 2 | SETTLE-202603-000026 | synthetic export; settlement completed; no manual override
TX-027 | 2026-03-27 15:09 | 2026-03-28 | MEDI-CORNER | лекарства | -2450.00 | RUB | 4407 | qr | posted | health.pharmacy | RU | 5303 | AUTH-00000027 | TERM-110 | counterparty-00 | 4754914.41 | household; лекарства; monthly export | 245 | RU-MOW-127 | Москва, район 4, точка обслуживания 4 | instant-qr | 1.000000 | 0 | SETTLE-202603-000027 | synthetic export; settlement completed; no manual override
TX-028 | 2026-03-28 16:16 | 2026-03-29 | NORTH CAFE | кофе | -540.00 | RUB | 4408 | card | posted | food.cafe | RU | 5304 | AUTH-00000028 | TERM-111 | counterparty-01 | 4945911.24 | household; кофе; monthly export | 54 | RU-MOW-128 | Москва, район 5, точка обслуживания 5 | debit-card | 1.000000 | 1 | SETTLE-202603-000028 | synthetic export; settlement completed; no manual override
TX-029 | 2026-03-01 17:23 | 2026-03-02 | CITY RIDE | поездка завершена | -98.00 | RUB | 4409 | card | posted | transport | RU | 5305 | AUTH-00000029 | TERM-112 | counterparty-02 | 4990108.07 | household; поездка завершена; monthly export | 9 | RU-MOW-129 | Москва, район 6, точка обслуживания 6 | debit-card | 1.000000 | 2 | SETTLE-202603-000029 | synthetic export; settlement completed; no manual override
TX-030 | 2026-03-02 08:30 | 2026-03-03 | GREEN MARKET | продукты | -1423.00 | RUB | 4404 | qr | posted | food.groceries | RU | 5306 | AUTH-00000030 | TERM-113 | counterparty-03 | 4857604.90 | household; продукты; monthly export | 142 | RU-MOW-130 | Москва, район 7, точка обслуживания 7 | instant-qr | 1.000000 | 0 | SETTLE-202603-000030 | synthetic export; settlement completed; no manual override
TX-031 | 2026-03-03 09:37 | 2026-03-04 | HOME NET | домашний интернет | -890.00 | RUB | 4405 | card | posted | services.digital | RU | 5307 | AUTH-00000031 | TERM-114 | counterparty-04 | 4910901.73 | household; домашний интернет; monthly export | 89 | RU-MOW-131 | Москва, район 8, точка обслуживания 8 | debit-card | 1.000000 | 1 | SETTLE-202603-000031 | synthetic export; settlement completed; no manual override
TX-032 | 2026-03-04 10:44 | 2026-03-05 | SALARY TEST | аванс | 42000.00 | RUB | 4406 | card | posted | income.salary | RU | 5300 | AUTH-00000032 | TERM-115 | counterparty-05 | 9199898.56 | household; аванс; monthly export | 4200 | RU-MOW-132 | Москва, район 1, точка обслуживания 9 | debit-card | 1.000000 | 2 | SETTLE-202603-000032 | synthetic export; settlement completed; no manual override
