SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000030,2026-01-30 14:30:00,2026-01-31,STREAM BOX,monthly subscription,-4700,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000030,TERM-1030,counterparty-30,7418595,household account; monthly subscription; statement export,PROVIDER-2026-00000030,2
TX-000031,2026-01-31 15:37:00,2026-02-01,GREEN MARKET,fresh food,-4837,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000031,TERM-1031,counterparty-31,7413758,household account; fresh food; statement export,PROVIDER-2026-00000031,3
TX-000032,2026-02-01 16:44:00,2026-02-02,BOOK HOUSE,books and stationery,-4974,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000032,TERM-1032,counterparty-00,7408784,household account; books and stationery; statement export,PROVIDER-2026-00000032,0
TX-000033,2026-02-02 17:51:00,2026-02-03,NOVA MARKET,groceries,-5111,RUB,4403,qr,posted,food.groceries,RU,5311,AUTH-0000000033,TERM-1033,counterparty-01,7403673,household account; groceries; statement export,PROVIDER-2026-00000033,1
TX-000034,2026-02-03 18:58:00,2026-02-04,CITY RIDE,completed ride,-5248,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000034,TERM-1034,counterparty-02,7398425,household account; completed ride; statement export,PROVIDER-2026-00000034,2
TX-000035,2026-02-04 19:05:00,2026-02-05,RIVER PAY,online order,-5385,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000035,TERM-1035,counterparty-03,7393040,household account; online order; statement export,PROVIDER-2026-00000035,3
TX-000036,2026-02-05 08:12:00,2026-02-06,NORTH CAFE,coffee and lunch,-5522,RUB,4406,qr,posted,food.cafe,RU,5814,AUTH-0000000036,TERM-1036,counterparty-04,7387518,household account; coffee and lunch; statement export,PROVIDER-2026-00000036,0
TX-000037,2026-02-06 09:19:00,2026-02-07,MEDI-CORNER,pharmacy goods,-5659,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000037,TERM-1037,counterparty-05,7381859,household account; pharmacy goods; statement export,PROVIDER-2026-00000037,1
TX-000038,2026-02-07 10:26:00,2026-02-08,STREAM BOX,monthly subscription,-5796,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000038,TERM-1038,counterparty-06,7376063,household account; monthly subscription; statement export,PROVIDER-2026-00000038,2
TX-000039,2026-02-08 11:33:00,2026-02-09,GREEN MARKET,fresh food,-5933,RUB,4409,qr,posted,food.groceries,RU,5411,AUTH-0000000039,TERM-1039,counterparty-07,7370130,household account; fresh food; statement export,PROVIDER-2026-00000039,3
TX-000040,2026-02-09 12:40:00,2026-02-10,BOOK HOUSE,books and stationery,-6070,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000040,TERM-1040,counterparty-08,7364060,household account; books and stationery; statement export,PROVIDER-2026-00000040,0
TX-000041,2026-02-10 13:47:00,2026-02-11,NOVA MARKET,groceries,-6207,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000041,TERM-1041,counterparty-09,7357853,household account; groceries; statement export,PROVIDER-2026-00000041,1
TX-000042,2026-02-11 14:54:00,2026-02-12,CITY RIDE,completed ride,-6344,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000042,TERM-1042,counterparty-10,7351509,household account; completed ride; statement export,PROVIDER-2026-00000042,2
TX-000043,2026-02-12 15:01:00,2026-02-13,RIVER PAY,online order,-6481,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000043,TERM-1043,counterparty-11,7345028,household account; online order; statement export,PROVIDER-2026-00000043,3
TX-000044,2026-02-13 16:08:00,2026-02-14,NORTH CAFE,coffee and lunch,-6618,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000044,TERM-1044,counterparty-12,7338410,household account; coffee and lunch; statement export,PROVIDER-2026-00000044,0
TX-000045,2026-02-14 17:15:00,2026-02-15,MEDI-CORNER,pharmacy goods,-6755,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000045,TERM-1045,counterparty-13,7331655,household account; pharmacy goods; statement export,PROVIDER-2026-00000045,1
TX-000046,2026-02-15 18:22:00,2026-02-16,STREAM BOX,monthly subscription,-6892,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000046,TERM-1046,counterparty-14,7324763,household account; monthly subscription; statement export,PROVIDER-2026-00000046,2
TX-000047,2026-02-16 19:29:00,2026-02-17,GREEN MARKET,fresh food,-7029,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000047,TERM-1047,counterparty-15,7317734,household account; fresh food; statement export,PROVIDER-2026-00000047,3
TX-000048,2026-02-17 08:36:00,2026-02-18,BOOK HOUSE,books and stationery,-7166,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000048,TERM-1048,counterparty-16,7310568,household account; books and stationery; statement export,PROVIDER-2026-00000048,0
TX-000049,2026-02-18 09:43:00,2026-02-19,NOVA MARKET,groceries,-7303,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000049,TERM-1049,counterparty-17,7303265,household account; groceries; statement export,PROVIDER-2026-00000049,1
TX-000050,2026-02-19 10:50:00,2026-02-20,CITY RIDE,completed ride,-7440,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000050,TERM-1050,counterparty-18,7295825,household account; completed ride; statement export,PROVIDER-2026-00000050,2
TX-000051,2026-02-20 11:57:00,2026-02-21,RIVER PAY,online order,-7577,RUB,4401,qr,posted,services.digital,RU,5812,AUTH-0000000051,TERM-1051,counterparty-19,7288248,household account; online order; statement export,PROVIDER-2026-00000051,3
TX-000052,2026-02-21 12:04:00,2026-02-22,NORTH CAFE,coffee and lunch,-7714,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000052,TERM-1052,counterparty-20,7280534,household account; coffee and lunch; statement export,PROVIDER-2026-00000052,0
TX-000053,2026-02-22 13:11:00,2026-02-23,MEDI-CORNER,pharmacy goods,-7851,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000053,TERM-1053,counterparty-21,7272683,household account; pharmacy goods; statement export,PROVIDER-2026-00000053,1
TX-000054,2026-02-23 14:18:00,2026-02-24,STREAM BOX,monthly subscription,-7988,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000054,TERM-1054,counterparty-22,7264695,household account; monthly subscription; statement export,PROVIDER-2026-00000054,2
TX-000055,2026-02-24 15:25:00,2026-02-25,GREEN MARKET,fresh food,-8125,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000055,TERM-1055,counterparty-23,7256570,household account; fresh food; statement export,PROVIDER-2026-00000055,3
TX-000056,2026-02-25 16:32:00,2026-02-26,BOOK HOUSE,books and stationery,-8262,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000056,TERM-1056,counterparty-24,7248308,household account; books and stationery; statement export,PROVIDER-2026-00000056,0
TX-000057,2026-02-26 17:39:00,2026-02-27,NOVA MARKET,groceries,-8399,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000057,TERM-1057,counterparty-25,7239909,household account; groceries; statement export,PROVIDER-2026-00000057,1
TX-000058,2026-02-27 18:46:00,2026-02-28,CITY RIDE,completed ride,-8536,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000058,TERM-1058,counterparty-26,7231373,household account; completed ride; statement export,PROVIDER-2026-00000058,2
TX-000059,2026-02-28 19:53:00,2026-03-01,RIVER PAY,online order,-8673,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000059,TERM-1059,counterparty-27,7222700,household account; online order; statement export,PROVIDER-2026-00000059,3
TX-000060,2026-03-01 08:00:00,2026-03-02,NORTH CAFE,coffee and lunch,-8810,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000060,TERM-1060,counterparty-28,7213890,household account; coffee and lunch; statement export,PROVIDER-2026-00000060,0
TX-000061,2026-03-02 09:07:00,2026-03-03,MEDI-CORNER,pharmacy goods,-8947,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000061,TERM-1061,counterparty-29,7204943,household account; pharmacy goods; statement export,PROVIDER-2026-00000061,1
TX-000062,2026-03-03 10:14:00,2026-03-04,STREAM BOX,monthly subscription,-9084,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000062,TERM-1062,counterparty-30,7195859,household account; monthly subscription; statement export,PROVIDER-2026-00000062,2
TX-000063,2026-03-04 11:21:00,2026-03-05,GREEN MARKET,fresh food,-9221,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000063,TERM-1063,counterparty-31,7186638,household account; fresh food; statement export,PROVIDER-2026-00000063,3
TX-000064,2026-03-05 12:28:00,2026-03-06,BOOK HOUSE,books and stationery,-9358,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000064,TERM-1064,counterparty-00,7177280,household account; books and stationery; statement export,PROVIDER-2026-00000064,0
TX-000065,2026-03-06 13:35:00,2026-03-07,NOVA MARKET,groceries,-9495,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000065,TERM-1065,counterparty-01,7167785,household account; groceries; statement export,PROVIDER-2026-00000065,1
TX-000066,2026-03-07 14:42:00,2026-03-08,CITY RIDE,completed ride,-9632,RUB,4406,qr,posted,transport,RU,4121,AUTH-0000000066,TERM-1066,counterparty-02,7158153,household account; completed ride; statement export,PROVIDER-2026-00000066,2
TX-000067,2026-03-08 15:49:00,2026-03-09,RIVER PAY,online order,-9769,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000067,TERM-1067,counterparty-03,7148384,household account; online order; statement export,PROVIDER-2026-00000067,3
TX-000068,2026-03-09 16:56:00,2026-03-10,NORTH CAFE,coffee and lunch,-9906,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000068,TERM-1068,counterparty-04,7138478,household account; coffee and lunch; statement export,PROVIDER-2026-00000068,0
TX-000069,2026-03-10 17:03:00,2026-03-11,MEDI-CORNER,pharmacy goods,-10043,RUB,4409,qr,posted,health.pharmacy,RU,5912,AUTH-0000000069,TERM-1069,counterparty-05,7128435,household account; pharmacy goods; statement export,PROVIDER-2026-00000069,1
TX-000070,2026-03-11 18:10:00,2026-03-12,STREAM BOX,monthly subscription,-10180,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000070,TERM-1070,counterparty-06,7118255,household account; monthly subscription; statement export,PROVIDER-2026-00000070,2
TX-000071,2026-03-12 19:17:00,2026-03-13,GREEN MARKET,fresh food,-10317,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000071,TERM-1071,counterparty-07,7107938,household account; fresh food; statement export,PROVIDER-2026-00000071,3
TX-000072,2026-03-13 08:24:00,2026-03-14,BOOK HOUSE,books and stationery,-10454,RUB,4402,qr,posted,unknown,RU,5942,AUTH-0000000072,TERM-1072,counterparty-08,7097484,household account; books and stationery; statement export,PROVIDER-2026-00000072,0
TX-000073,2026-03-14 09:31:00,2026-03-15,NOVA MARKET,groceries,-10591,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000073,TERM-1073,counterparty-09,7086893,household account; groceries; statement export,PROVIDER-2026-00000073,1
TX-000074,2026-03-15 10:38:00,2026-03-16,CITY RIDE,completed ride,-10728,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000074,TERM-1074,counterparty-10,7076165,household account; completed ride; statement export,PROVIDER-2026-00000074,2
TX-000075,2026-03-16 11:45:00,2026-03-17,RIVER PAY,online order,-10865,RUB,4405,qr,posted,services.digital,RU,5812,AUTH-0000000075,TERM-1075,counterparty-11,7065300,household account; online order; statement export,PROVIDER-2026-00000075,3
TX-000076,2026-03-17 12:52:00,2026-03-18,NORTH CAFE,coffee and lunch,-11002,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000076,TERM-1076,counterparty-12,7054298,household account; coffee and lunch; statement export,PROVIDER-2026-00000076,0
TX-000077,2026-03-18 13:59:00,2026-03-19,MEDI-CORNER,pharmacy goods,-11139,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000077,TERM-1077,counterparty-13,7043159,household account; pharmacy goods; statement export,PROVIDER-2026-00000077,1
TX-000078,2026-03-19 14:06:00,2026-03-20,STREAM BOX,monthly subscription,-11276,RUB,4408,qr,posted,services.digital,RU,4899,AUTH-0000000078,TERM-1078,counterparty-14,7031883,household account; monthly subscription; statement export,PROVIDER-2026-00000078,2
TX-000079,2026-03-20 15:13:00,2026-03-21,GREEN MARKET,fresh food,-11413,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000079,TERM-1079,counterparty-15,7020470,household account; fresh food; statement export,PROVIDER-2026-00000079,3
TX-000080,2026-03-21 16:20:00,2026-03-22,BOOK HOUSE,books and stationery,-11550,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000080,TERM-1080,counterparty-16,7008920,household account; books and stationery; statement export,PROVIDER-2026-00000080,0
TX-000081,2026-03-22 17:27:00,2026-03-23,NOVA MARKET,groceries,-11687,RUB,4401,qr,posted,food.groceries,RU,5311,AUTH-0000000081,TERM-1081,counterparty-17,6997233,household account; groceries; statement export,PROVIDER-2026-00000081,1
TX-000082,2026-03-23 18:34:00,2026-03-24,CITY RIDE,completed ride,-11824,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000082,TERM-1082,counterparty-18,6985409,household account; completed ride; statement export,PROVIDER-2026-00000082,2
TX-000083,2026-03-24 19:41:00,2026-03-25,RIVER PAY,online order,-11961,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000083,TERM-1083,counterparty-19,6973448,household account; online order; statement export,PROVIDER-2026-00000083,3
TX-000084,2026-03-25 08:48:00,2026-03-26,NORTH CAFE,coffee and lunch,-12098,RUB,4404,qr,posted,food.cafe,RU,5814,AUTH-0000000084,TERM-1084,counterparty-20,6961350,household account; coffee and lunch; statement export,PROVIDER-2026-00000084,0
TX-000085,2026-03-26 09:55:00,2026-03-27,MEDI-CORNER,pharmacy goods,-12235,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000085,TERM-1085,counterparty-21,6949115,household account; pharmacy goods; statement export,PROVIDER-2026-00000085,1
TX-000086,2026-03-27 10:02:00,2026-03-28,STREAM BOX,monthly subscription,-12372,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000086,TERM-1086,counterparty-22,6936743,household account; monthly subscription; statement export,PROVIDER-2026-00000086,2
TX-000087,2026-03-28 11:09:00,2026-03-29,GREEN MARKET,fresh food,-12509,RUB,4407,qr,posted,food.groceries,RU,5411,AUTH-0000000087,TERM-1087,counterparty-23,6924234,household account; fresh food; statement export,PROVIDER-2026-00000087,3
TX-000088,2026-03-29 12:16:00,2026-03-30,BOOK HOUSE,books and stationery,-12646,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000088,TERM-1088,counterparty-24,6911588,household account; books and stationery; statement export,PROVIDER-2026-00000088,0
TX-000089,2026-03-30 13:23:00,2026-03-31,NOVA MARKET,groceries,-12783,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000089,TERM-1089,counterparty-25,6898805,household account; groceries; statement export,PROVIDER-2026-00000089,1
TX-000090,2026-03-31 14:30:00,2026-04-01,CITY RIDE,completed ride,-12920,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000090,TERM-1000,counterparty-26,6885885,household account; completed ride; statement export,PROVIDER-2026-00000090,2
TX-000091,2026-01-01 15:37:00,2026-01-02,RIVER PAY,online order,-13057,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000091,TERM-1001,counterparty-27,6872828,household account; online order; statement export,PROVIDER-2026-00000091,3
TX-000092,2026-01-02 16:44:00,2026-01-03,NORTH CAFE,coffee and lunch,-13194,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000092,TERM-1002,counterparty-28,6859634,household account; coffee and lunch; statement export,PROVIDER-2026-00000092,0
TX-000093,2026-01-03 17:51:00,2026-01-04,MEDI-CORNER,pharmacy goods,-13331,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000093,TERM-1003,counterparty-29,6846303,household account; pharmacy goods; statement export,PROVIDER-2026-00000093,1
TX-000094,2026-01-04 18:58:00,2026-01-05,STREAM BOX,monthly subscription,-13468,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000094,TERM-1004,counterparty-30,6832835,household account; monthly subscription; statement export,PROVIDER-2026-00000094,2
TX-000095,2026-01-05 19:05:00,2026-01-06,GREEN MARKET,fresh food,-13605,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000095,TERM-1005,counterparty-31,6819230,household account; fresh food; statement export,PROVIDER-2026-00000095,3
TX-000096,2026-01-06 08:12:00,2026-01-07,BOOK HOUSE,books and stationery,-13742,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000096,TERM-1006,counterparty-00,6805488,household account; books and stationery; statement export,PROVIDER-2026-00000096,0
TX-000097,2026-01-07 09:19:00,2026-01-08,NOVA MARKET,groceries,-13879,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000097,TERM-1007,counterparty-01,6791609,household account; groceries; statement export,PROVIDER-2026-00000097,1
TX-000098,2026-01-08 10:26:00,2026-01-09,CITY RIDE,completed ride,-14016,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000098,TERM-1008,counterparty-02,6777593,household account; completed ride; statement export,PROVIDER-2026-00000098,2
TX-000099,2026-01-09 11:33:00,2026-01-10,RIVER PAY,online order,-14153,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000099,TERM-1009,counterparty-03,6763440,household account; online order; statement export,PROVIDER-2026-00000099,3
TX-000100,2026-01-10 12:40:00,2026-01-11,NORTH CAFE,coffee and lunch,-14290,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000100,TERM-1010,counterparty-04,6749150,household account; coffee and lunch; statement export,PROVIDER-2026-00000100,0
TX-000101,2026-01-11 13:47:00,2026-01-12,MEDI-CORNER,pharmacy goods,-14427,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000101,TERM-1011,counterparty-05,6734723,household account; pharmacy goods; statement export,PROVIDER-2026-00000101,1
TX-000102,2026-01-12 14:54:00,2026-01-13,STREAM BOX,monthly subscription,-14564,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000102,TERM-1012,counterparty-06,6720159,household account; monthly subscription; statement export,PROVIDER-2026-00000102,2
TX-000103,2026-01-13 15:01:00,2026-01-14,GREEN MARKET,fresh food,-14701,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000103,TERM-1013,counterparty-07,6705458,household account; fresh food; statement export,PROVIDER-2026-00000103,3
TX-000104,2026-01-14 16:08:00,2026-01-15,BOOK HOUSE,books and stationery,-14838,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000104,TERM-1014,counterparty-08,6690620,household account; books and stationery; statement export,PROVIDER-2026-00000104,0
TX-000105,2026-01-15 17:15:00,2026-01-16,NOVA MARKET,groceries,-14975,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000105,TERM-1015,counterparty-09,6675645,household account; groceries; statement export,PROVIDER-2026-00000105,1
TX-000106,2026-01-16 18:22:00,2026-01-17,CITY RIDE,completed ride,-15112,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000106,TERM-1016,counterparty-10,6660533,household account; completed ride; statement export,PROVIDER-2026-00000106,2
TX-000107,2026-01-17 19:29:00,2026-01-18,RIVER PAY,online order,-15249,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000107,TERM-1017,counterparty-11,6645284,household account; online order; statement export,PROVIDER-2026-00000107,3
TX-000108,2026-01-18 08:36:00,2026-01-19,NORTH CAFE,coffee and lunch,-15386,RUB,4408,qr,posted,food.cafe,RU,5814,AUTH-0000000108,TERM-1018,counterparty-12,6629898,household account; coffee and lunch; statement export,PROVIDER-2026-00000108,0
